regime,label,parameter,parameter_type,direction,direct_delta_power_kW,direct_p95_reduction_mgNm3,direct_benefit_mgNm3_per_kW,constraint_direction,constraint_delta_power_kW,dust_load_relief,dust_relief_per_added_kW,dust_load_index,relative_dust_slack,dust_constraint_active,primary_action_class,primary_parameter,secondary_parameter,operational_role,operational_rank,is_primary_action,is_tied_primary,is_secondary_action
6,R7,U1_kV,电压,上限处反向差分,8.497124287234328,0.49535608218401883,0.05829690909996668,,0.0,0.0,0.0,1.4499999999991493,5.86657159632962e-13,True,周期优先,T4_s、T3_s,U4_kV,二级：约束恢复后的直接减排,7,False,False,False
6,R7,U2_kV,电压,提高1%,7.701361339657069,0.4444267810391356,0.05770756122695125,,0.0,0.0,0.0,1.4499999999991493,5.86657159632962e-13,True,周期优先,T4_s、T3_s,U4_kV,二级：约束恢复后的直接减排,8,False,False,False
7,R8,T3_s,振打周期,缩短1%,1.2560189411447027,0.0016860448526987426,0.0013423721549629861,缩短1%,1.2560189411447027,0.002790853925018544,0.002221983947531104,1.4500000000018662,-1.287093037513716e-12,True,周期优先,T3_s、T4_s,U4_kV,一级：恢复尘负荷安全裕量,1,True,True,False
7,R8,T4_s,振打周期,缩短1%,1.2404386503030764,0.0016754631691906496,0.0013507021639331245,缩短1%,1.2404386503030764,0.002755702358553158,0.002221554736205501,1.4500000000018662,-1.287093037513716e-12,True,周期优先,T3_s、T4_s,U4_kV,一级：恢复尘负荷安全裕量,2,False,True,False
7,R8,T2_s,振打周期,缩短1%,2.1754094830662325,0.01045656128295569,0.004806709433029225,缩短1%,2.1754094830662325,0.004485949455320881,0.002062117265848244,1.4500000000018662,-1.287093037513716e-12,True,周期优先,T3_s、T4_s,U4_kV,一级：恢复尘负荷安全裕量,3,False,False,False
7,R8,T1_s,振打周期,缩短1%,2.1722940339564047,0.010706192086622934,0.004928518846559514,缩短1%,2.1722940339564047,0.004467494261125804,0.0020565789857596513,1.4500000000018662,-1.287093037513716e-12,True,周期优先,T3_s、T4_s,U4_kV,一级：恢复尘负荷安全裕量,4,False,False,False
7,R8,U4_kV,电压,提高1%,5.121321097596592,0.29879629238601524,0.05834359664076496,,0.0,0.0,0.0,1.4500000000018662,-1.287093037513716e-12,True,周期优先,T3_s、T4_s,U4_kV,二级：约束恢复后的直接减排,5,False,False,True
7,R8,U1_kV,电压,上限处反向差分,8.497124287244333,0.49143397243322795,0.057835328261698626,,0.0,0.0,0.0,1.4500000000018662,-1.287093037513716e-12,True,周期优先,T3_s、T4_s,U4_kV,二级：约束恢复后的直接减排,6,False,False,False
7,R8,U2_kV,电压,上限处反向差分,8.649572792908657,0.47627197565828716,0.05506306346699091,,0.0,0.0,0.0,1.4500000000018662,-1.287093037513716e-12,True,周期优先,T3_s、T4_s,U4_kV,二级：约束恢复后的直接减排,7,False,False,False
7,R8,U3_kV,电压,提高1%,5.730567286308087,0.3101216940509772,0.054117101947645546,,0.0,0.0,0.0,1.4500000000018662,-1.287093037513716e-12,True,周期优先,T3_s、T4_s,U4_kV,二级：约束恢复后的直接减排,8,False,False,False
