extension_pct,regime,component,increment_kW,share_pct
9,0,T4,2.3138235135877487e-14,2.0784831696096368e-14
9,1,U1,53.082283909880815,48.326579418238175
9,1,U2,45.0975504806169,41.05720768476315
9,1,U3,-19.757626266940946,-17.987517201147764
9,1,U4,31.418555590515954,28.603730098146208
9,1,T1,4.6608724917664157e-14,4.2432994219697484e-14
9,1,T2,-2.3354687983474347e-14,-2.1262313911317155e-14
9,1,T3,2.372771553293027e-13,2.1601921482170317e-13
9,1,T4,0.0,0.0
9,2,U1,47.27658890779083,45.60099545254361
9,2,U2,-2.371101473306108,-2.287064062778293
9,2,U3,27.03794902252023,26.079660544605595
9,2,U4,31.73103038637482,30.606408071779306
9,2,T1,-6.3760502643739975e-09,-6.150068053302255e-09
9,2,T2,-7.006406395042304e-14,-6.758082880771153e-14
9,2,T3,-4.7455431065860536e-14,-4.577349902408441e-14
9,2,T4,-4.6276470271754975e-14,-4.463632337218632e-14
9,3,U1,35.83071891761616,32.82965629181778
9,3,U2,14.262112396391347,13.06756498649546
9,3,U3,44.46783707122929,40.74335796738002
9,3,U4,14.536895733440721,13.31933337916409
9,3,T1,-0.07537885183831854,-0.06906536827278639
9,3,T2,0.5140113156352665,0.4709594262177743
9,3,T3,9.908093410616111e-06,9.07822424455536e-06
9,3,T4,-0.39489048310682845,-0.36181576102658797
9,4,U1,-46.083031738995544,-46.03587427605734
9,4,U2,55.749988468577456,55.69293866269875
9,4,U3,52.822737727619106,52.76868342166995
9,4,U4,37.64463111783061,37.60610879779716
9,4,T1,-0.07557186298589405,-0.07549452915620783
9,4,T2,-0.2761119697661718,-0.2758294202139898
9,4,T3,0.27809013924912196,0.27780556540620743
9,4,T4,0.04170445465429365,0.04166177785546981
9,5,U1,41.51947538817835,42.888242586326854
9,5,U2,20.135492600096917,20.799296791549246
9,5,U3,54.37172439897395,56.164190035119155
9,5,U4,-19.186188812884282,-19.818697428637098
9,5,T1,0.15189831463376965,0.15690592681048668
